tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,5,0,0
5,8,0,0
6,8,0,0
7,8,0,0
8,8,0,0
9,8,0,0
10,8,0,0
11,8,0,0
12,8,0,0
13,10,0,0
14,9,4,0
15,8,7,0
16,5,4,6
17,4,5,7
18,4,6,7
19,4,7,7
20,3,8,7
21,3,9,7
22,3,9,7
23,3,9,7
24,3,9,7
25,3,9,7
26,3,9,7
27,3,9,7
28,3,9,7
29,3,9,7
30,3,9,7
31,3,9,7
32,2,8,9
33,5,5,9
34,5,5,9
35,5,5,9
36,5,5,9
37,4,4,12
38,4,4,12
39,4,4,12
40,4,4,12
41,4,4,12
42,4,4,12
43,4,4,13
44,4,4,13
45,5,4,14
46,5,4,14
47,5,4,14
48,5,4,14
49,5,4,14
50,5,4,15
51,5,4,15
52,5,4,16
53,5,4,18
54,5,4,18
55,6,4,18
56,6,4,19
